poppler-data 0.4.11-1
poppler-glib 22.03.0-1
poppler-qt5 22.03.0-1
poppler-qt6 22.03.0-1
popt 1.18-3
portaudio 1:19.7.0-1
postgresql-libs 13.6-1
potrace 1.16-2.1
procps-ng 3.3.17-1
progsreiserfs 0.3.0.5-10
protobuf 3.19.4-1
psmisc 23.4-1.1
ptex 2.4.1-3
pugixml 1.12.1-1
pulsemixer 1.5.1-3
purpose 5.92.0-1
pybind11 2.9.1-1
pyright 1.1.231-1
pystring 1.1.3.git1-1
python 3.10.2-1
python-apipkg 2.1.0-1
python-appdirs 1.4.4-6
python-argcomplete 1.12.3-1
python-astor 0.8.1-5
python-asttokens 2.0.5-2
python-astunparse 1.6.3-5
python-attrs 21.4.0-1
python-backcall 0.2.0-6
python-beautifulsoup4 4.10.0-1
python-black 22.1.0-2
python-bleach 4.1.0-3
python-cachecontrol 1:0.12.6-4
python-cachetools 5.0.0-1
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-click 8.0.4-1
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.1-1
python-cycler 0.11.0-1
python-dateutil 2.8.2-4
python-decorator 5.1.1-1
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-dnspython 1:2.2.0-1
python-docopt 0.6.2-11
python-executing 0.8.3-1
python-flask 2.0.3-1
python-flask-cors 3.0.10-3
python-flatbuffers 2.0.6-1
python-fonttools 4.31.1-1
python-gast03 0.3.3-3
python-google-auth 1.34.0-4
python-google-auth-oauthlib 0.4.4-3
python-grpcio 1.43.2-1
python-h5py 3.6.0-3
python-helpdev 0.7.1-5
python-html5lib 1.1-11
python-idna 3.3-4
python-importlib-metadata 4.8.1-3
python-iniconfig 1.1.1-5.1
python-itsdangerous 2.1.0-1
python-jedi 0.18.1-1
python-jinja 3.0.3-3
python-joblib 1.1.0-3
python-jsonschema 3.2.0-6
python-keras 2.8.0-1
python-keras-applications 1.0.8-8
python-keras-preprocessing 1.1.2-6
python-kiwisolver 1.3.2-3
python-markdown 3.3.6-3
python-markupsafe 2.1.0-1
python-matplotlib 3.5.1-2.1
python-matplotlib-inline 0.1.3-3
python-more-itertools 8.12.0-1
python-msgpack 1.0.3-1
python-mypy-protobuf 2.9-1
python-mypy_extensions 0.4.3-5
python-numpy 1.22.3-1
python-oauthlib 3.2.0-1
python-opt_einsum 3.3.0-5
python-ordered-set 4.0.2-6
python-orjson 3.6.7-1
python-packaging 20.9-7
python-pandas 1.4.1-1
python-parso 1:0.8.2-3
python-pasta 0.2.0-6
python-pathspec 0.9.0-3
python-pep517 0.12.0-4
python-pexpect 4.8.0-6
python-pickleshare 0.7.5-8
python-pillow 9.0.1-1
python-pip 21.0-1
python-platformdirs 2.5.0-1
python-pluggy 1.0.0-1
python-ply 3.11-10
python-progress 1.6-5
python-prompt_toolkit 3.0.28-1
python-protobuf 3.19.4-1
python-psutil 5.9.0-1
python-ptyprocess 0.7.0-4
python-pure-eval 0.2.2-1
python-py 1.11.0-1.1
python-pyasn1 0.4.8-7
python-pyasn1-modules 0.2.8-6
python-pyaudio 0.2.11-8
python-pycparser 2.21-3
python-pydot 1.4.2-3
python-pygments 2.11.2-1
